UID,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20
"Lackland, TX (From Diamond Princess)-US","Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"Lee County, FL-US","Lee County, FL",US,26.663,-81.9535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Liaoning-Mainland China,Liaoning,Mainland China,41.2956,122.6085,2,5,9,26,47,74,108,146,186,233,296,365,438,517,602,691,783,880,975,1070,1162,1257,1351,1440,1527,1607,1684,1751,1816,1877,1936,1990,2037,2077,2114,2146,2173,2200,2224,2242,2260,2278,2296,2314,2332,2349
"London, ON-Canada","London, ON",Canada,42.9849,-81.2453,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"Los Angeles, CA-US","Los Angeles, CA",US,34.0522,-118.2437,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,45,56,69,83
Macau-Macau,Macau,Macau,22.1667,113.55,1,3,5,7,12,18,25,32,39,46,53,61,69,79,89,98,107,116,125,134,143,151,158,165,172,177,182,187,192,196,200,204,208,212,215,218,220,222,224,226,228,229,230,231,231,231
"Madera County, CA-US","Madera County, CA",US,37.2519,-119.6963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Madison, WI-US","Madison, WI",US,43.0731,-89.4012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,27,27,27,27
"Maricopa County, AZ-US","Maricopa County, AZ",US,33.2918,-112.4291,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,30,30,30,30,30,30,30,30,30,30,31,33
"Marion County, IN-US","Marion County, IN",US,39.8362,-86.1752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
